"model","horizon","model_family","n_evaluation","target_response_RMSE","target_response_MAE","target_response_bias","target_response_correlation","target_mode","level_RMSE","level_MAE","level_bias","cumulative_percent_MAE","annualized_percent_MAE","cumulative_log_RMSE","cumulative_log_MAE","cumulative_log_bias","cumulative_log_correlation"
"AR(4)",1,"Baseline",84,0.00255502279418243,0.00183522573655029,0.000620955759746343,0.557792640549385,"cumulative_log_change",0.720582477150762,0.520238234849013,0.177696700092484,0.184143824437467,2.29495036418875,0.00255502279418243,0.00183522573655029,0.000620955759746343,0.557792640549385
"BorutaRF",1,"FeatureSelection+Tree",84,0.0026960099125657,0.00194852349394312,0.000755670841997561,0.495126386042631,"cumulative_log_change",0.76038001050056,0.550774007815944,0.217197292658956,0.195505107727604,2.43551683128058,0.0026960099125657,0.00194852349394312,0.000755670841997561,0.495126386042631
"LASSO",1,"Regularization",84,0.00270186885786367,0.00191060901506044,0.00085258799123242,0.508551204114592,"cumulative_log_change",0.760863928656297,0.541240493043664,0.242529096892068,0.191689833395794,2.38657024803693,0.00270186885786367,0.00191060901506044,0.00085258799123242,0.508551204114592
"Ensemble_Median",1,"Ensemble",84,0.00272564471096555,0.00199494210730107,0.000935439779942869,0.514342234452849,"cumulative_log_change",0.765819208725335,0.563596684572546,0.265049371147072,0.200152443795829,2.49205644347296,0.00272564471096555,0.00199494210730107,0.000935439779942869,0.514342234452849
"ElasticNet",1,"Regularization",84,0.00272572885692384,0.00192417332771966,0.000909659187094921,0.505254469913712,"cumulative_log_change",0.767969616019981,0.545378761646324,0.258764419839342,0.193055122532764,2.40412767570234,0.00272572885692384,0.00192417332771966,0.000909659187094921,0.505254469913712
"Ensemble_InvRMSE",1,"Ensemble",84,0.00278866442967784,0.00202035180029681,0.00110132809642061,0.512260612039566,"cumulative_log_change",0.78309683769126,0.570441598345706,0.312594031690225,0.202695125014062,2.52279704035322,0.00278866442967784,0.00202035180029681,0.00110132809642061,0.512260612039566
"RandomForest",1,"Tree",84,0.00279987939484052,0.00203625462633722,0.000989502910895173,0.476698657346258,"cumulative_log_change",0.784620252998429,0.573947838505885,0.279912028636752,0.204284761614126,2.54179651926165,0.00279987939484052,0.00203625462633722,0.000989502910895173,0.476698657346258
"XGBoost",1,"Boosting",84,0.00281611585064033,0.00204836329200758,0.00100871981326642,0.470127485541305,"cumulative_log_change",0.789377988898008,0.57830720865117,0.285139242578197,0.205504278121134,2.55760948717,0.00281611585064033,0.00204836329200758,0.00100871981326642,0.470127485541305
"Ensemble_Mean",1,"Ensemble",84,0.00281215568794727,0.00203668577795688,0.00116146561648552,0.515743234224117,"cumulative_log_change",0.790427507676574,0.575312577068526,0.330584108044313,0.204335070201253,2.54334462045592,0.00281215568794727,0.00203668577795688,0.00116146561648552,0.515743234224117
"Ridge",1,"Regularization",84,0.00311357446854725,0.00213520528333971,0.00128059187698061,0.353291238173857,"cumulative_log_change",0.866920420526487,0.600959251919755,0.358559029318374,0.214163233436457,2.65830937610391,0.00311357446854725,0.00213520528333971,0.00128059187698061,0.353291238173857
